"city","site","raccoon","coyote","rabbit","opossum","skunk","redfox","graysquirrel","foxsquirrel","J","site_code","year"
"chil","438-2-16",20,0,2,0,4,0,26,0,29,"chil-438-2",2016
"chil","439-2-16",3,1,0,2,0,0,5,1,29,"chil-439-2",2016
"chil","440-2-16",1,1,0,0,0,1,0,0,29,"chil-440-2",2016
"chil","443-2-16",10,0,0,24,0,0,9,0,29,"chil-443-2",2016
"chil","445-2-16",12,0,0,11,0,0,1,13,29,"chil-445-2",2016
"chil","298-2-17",0,0,0,0,0,0,0,0,26,"chil-298-2",2017
"chil","299-2-17",5,17,1,23,24,0,24,1,26,"chil-299-2",2017
"chil","301-2-17",2,1,0,1,0,0,1,2,30,"chil-301-2",2017
"chil","303-2-17",0,4,0,3,0,0,2,0,28,"chil-303-2",2017
"chil","304-2-17",5,5,0,1,0,0,1,0,28,"chil-304-2",2017
"chil","305-2-17",0,0,2,7,0,0,13,0,26,"chil-305-2",2017
"chil","306-2-17",1,0,7,0,0,0,3,9,33,"chil-306-2",2017
"chil","307-2-17",1,0,0,0,0,0,3,0,33,"chil-307-2",2017
"chil","309-2-17",1,0,2,0,0,0,1,0,27,"chil-309-2",2017
"chil","310-2-17",11,0,0,0,0,0,0,0,20,"chil-310-2",2017
"chil","314-2-17",0,0,0,0,0,0,0,0,14,"chil-314-2",2017
"chil","315-2-17",0,3,0,0,0,0,5,0,27,"chil-315-2",2017
"chil","316-2-17",0,0,11,0,0,0,11,4,17,"chil-316-2",2017
"chil","317-2-17",0,0,0,0,0,0,8,1,12,"chil-317-2",2017
"chil","318-2-17",0,0,0,0,0,0,1,0,26,"chil-318-2",2017
"chil","319-2-17",0,0,3,0,0,0,12,0,21,"chil-319-2",2017
"chil","320-2-17",10,0,0,3,0,0,2,1,12,"chil-320-2",2017
"chil","324-2-17",0,0,12,0,0,0,21,0,25,"chil-324-2",2017
"chil","326-2-17",3,0,6,0,1,0,5,2,25,"chil-326-2",2017
"chil","328-2-17",0,0,0,0,0,0,0,0,26,"chil-328-2",2017
"chil","329-2-17",0,1,0,0,0,0,1,0,15,"chil-329-2",2017
"chil","330-2-17",1,0,26,1,0,0,11,1,28,"chil-330-2",2017
"chil","332-2-17",0,0,3,14,0,0,22,0,28,"chil-332-2",2017
"chil","333-2-17",2,0,0,0,0,0,0,0,29,"chil-333-2",2017
"chil","334-2-17",0,0,2,0,0,0,4,0,24,"chil-334-2",2017
"chil","335-2-17",0,0,0,0,0,0,23,0,28,"chil-335-2",2017
"chil","338-2-17",1,1,1,1,0,0,0,0,26,"chil-338-2",2017
"chil","339-2-17",0,0,0,0,0,0,10,0,26,"chil-339-2",2017
"chil","341-2-17",11,0,7,9,0,0,16,0,26,"chil-341-2",2017
"chil","342-2-17",6,17,0,6,0,0,10,2,26,"chil-342-2",2017
"chil","343-2-17",7,1,0,8,0,0,0,0,28,"chil-343-2",2017
"chil","344-2-17",0,0,0,0,0,0,11,4,28,"chil-344-2",2017
"chil","347-2-17",2,1,0,1,0,0,25,3,28,"chil-347-2",2017
"chil","348-2-17",0,0,0,8,0,0,0,0,16,"chil-348-2",2017
"chil","349-2-17",0,0,0,0,0,0,2,0,28,"chil-349-2",2017
"chil","352-2-17",12,0,0,0,0,0,0,0,28,"chil-352-2",2017
"chil","353-2-17",19,6,9,3,0,0,9,1,28,"chil-353-2",2017
"chil","354-2-17",5,0,8,11,3,0,10,0,29,"chil-354-2",2017
"chil","355-2-17",0,0,2,0,0,0,10,0,17,"chil-355-2",2017
"chil","356-2-17",0,0,0,0,0,0,4,0,23,"chil-356-2",2017
"chil","357-2-17",1,0,1,2,0,0,21,0,29,"chil-357-2",2017
"chil","358-2-17",0,1,1,0,0,0,9,0,25,"chil-358-2",2017
"chil","359-2-17",0,0,12,1,0,0,3,0,29,"chil-359-2",2017
"chil","364-2-17",5,2,0,4,0,0,6,4,26,"chil-364-2",2017
"chil","366-2-17",21,1,0,9,0,0,9,0,26,"chil-366-2",2017
"chil","367-2-17",23,0,3,11,3,0,8,2,28,"chil-367-2",2017
"chil","369-2-17",2,0,1,0,0,0,1,0,31,"chil-369-2",2017
"chil","370-2-17",7,2,0,2,0,0,0,0,31,"chil-370-2",2017
"chil","373-2-17",2,2,0,1,0,0,0,0,31,"chil-373-2",2017
"chil","375-2-17",2,5,0,0,0,0,0,0,26,"chil-375-2",2017
"chil","376-2-17",24,2,0,13,2,0,8,0,28,"chil-376-2",2017
"chil","378-2-17",12,1,0,6,0,0,1,1,29,"chil-378-2",2017
"chil","379-2-17",6,4,0,5,1,0,0,0,28,"chil-379-2",2017
"chil","380-2-17",13,0,3,3,2,0,2,2,18,"chil-380-2",2017
"chil","381-2-17",13,6,0,1,1,0,4,0,26,"chil-381-2",2017
"chil","382-2-17",4,2,6,13,0,0,1,3,28,"chil-382-2",2017
"chil","383-2-17",8,3,3,2,0,0,1,2,28,"chil-383-2",2017
"chil","384-2-17",4,4,1,0,0,0,0,0,28,"chil-384-2",2017
"chil","386-2-17",4,0,0,0,0,0,0,0,28,"chil-386-2",2017
